course_title,content_duration
Complete GST Course & Certification - Grow Your CA Practice,39.0
Financial Modeling for Business Analysts and Consultants,2.5
Beginner to Pro - Financial Analysis in Excel 2017,3.0
Trading Penny Stocks: A Guide for All Levels In 2017,3.0
"Trading Stock Chart Patterns For Immediate, Explosive Gains",2.5
Options Trading 3 : Advanced Stock Profit and Success Method,2.5
Forex Trading Secrets of the Pros With Amazon's AWS,5.0
Python Algo Trading: Sentiment Trading with News,7.0
The Complete Chart Pattern Trading Course: A Proven Approach,4.0
Forex Traders - Create Your First Trading Robot. No Coding!,4.0
Beginner to Pro in PowerPoint: Complete PowerPoint Training,5.0
Investing 101: The Complete Online Investing Course,4.5
Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),4.5
Forex Trading: Your Complete Guide to Get Started Like a Pro,3.0
Python Algo Stock Trading: Automate Your Trading!,2.5
The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,6.5
Options Trading Stocks: Proven Toolbox For Financial Success,10.0
Forex Trading A-Z™ - With LIVE Examples of Forex Trading,5.5
"Introduction to Finance, Accounting, Modeling and Valuation",4.5
Beginner to Pro in Excel: Financial Modeling and Valuation,7.5
The Complete Investment Banking Course 2017,5.5
The Complete Financial Analyst Course 2017,10.0
Python for Finance: Investment Fundamentals & Data Analytics,6.5
Financial Modeling for Startups & Small Businesses,11.5
Black Algo Trading: Build Your Trading Robot,16.0
Accounting & Financial Statement Analysis: Complete Training,3.0
Cryptocurrency Trading: Complete Guide To Trading Altcoins,5.0
Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,5.5
Three Steps Trading - Live Trading - Real Account,5.0
Learn to Trade for Profit: Find and Trade Winning Stocks,3.0
Dividend Investing: Build Your Portfolio for a Better Future,4.0
Learn Accounting. Understand Business.,5.5
Excel Crash Course: Master Excel for Financial Analysis,3.5
"Comprehensive Guide to Financial Markets, Investing &Trading",9.0
Stock Trading Ninja: Complete System For Trading Success,4.5
Hedge and Mutual Fund Careers: The Complete Guide,8.5
Algorithmic Trading In Forex: Create Your First Forex Robot!,6.5
The Power Modeling Bootcamp: Advanced Excel in 10 Days,5.5
Options Trading Basics (3-Course Bundle),11.0
How I Make Consistent Returns Trading Options,3.5
"Forex Strategies: Kelly Criterion, Larry Williams and more!",3.0
"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",5.0
Options Trading Introduction: Day Trade Stock Options,2.5
Learn to Trade for Profit:Trading with Japanese Candlesticks,3.0
What Finance Job is for You? Explanation of 14 Finance Roles,4.0
Trading for Beginners - Intermediate Level,5.0
Start Trading Stocks Using Technical Analysis!,4.0
Introduction to Accounting: The Language of Business,11.5
The Complete Value Investing Course: A Proven Approach,4.5
Forex Trading - Advanced Fundamental Analysis,2.5
Learn How To Successfully Trade Stocks: In 5 Simple Steps,9.5
Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,5.0
Practical Accounts APP Overview,3.0
Trend Traders Club: How To Find And Trade Fast Moving Trends,5.5
Practical Accounts & Bookkeeping Automated Overview ,4.5
Live Account - ETF Trading System - Hacking The Stock Market,5.0
Advanced Accounting A Complete Study for CA / CMA / CFA / CS,62.0
Forex SOS Course: Trading Tweaks And Working Forex Strategy,2.5
Quantitative Aptitude for Banking & Competitive Examinations,3.0
Option Spreads and Credit Spreads Bundle,4.5
B Com Accountancy I (Paper ECO 02 IGNOU),31.5
FOREX TRADING - Learn in a quick + profitable way + support,3.5
Auditing Basics (Professional Course Level),2.5
Stock market Investing Encyclopedia: How to invest in stocks,3.0
Transfer Pricing A Complete Analysis,2.5
Complete Trading Plan Course for Stocks & Forex (10 Hours),9.5
"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",20.0
How to Pick The Right Penny Stocks To Invest In 2017,2.5
Intro to Financial Modeling,6.0
Forex Trading MAKE YOUR FIRST TRADE TODAY!,4.0
SAP FICO For Beginners - A Guide to SAP Financial Accounts,5.0
Learn how to double your Forex Trading Account in one trade,2.5
"Accounting Superpowers: Learn Accounts, Understand Business!",2.5
Python Algo Trading: FX Trading with Oanda,3.0
Get a Credit Repair Publication On Amazon and Live LIFE..,3.0
Fundamentals of Accounting,3.0
"RSI, Options Trading & Technical Analysis (3 Course Bundle)",3.5
Stock Options Day Trading Mindset for Success,4.5
Learn to Trade The News,46.5
"Value Investing, Taught by Six Superinvestors",5.0
Trading for everyone - The Independent Investor Course I,4.0
Get Acquired: Learn From The Head Of Acquisitions For eBay,2.5
Stock Market investment: Practical Accounting,3.0
Forex Trading Like Banks – Step by Step with Live Examples,4.5
"Master 'Technical Analysis and Chart reading skills Bundle""",3.0
The Ultimate Guide to Dividend & Dividend Growth Investing,5.5
Build a DCF Valuation Model,5.5
Introductory Financial Accounting,10.0
Trade Pullback Candlestick Strategy - Make Consistent Pips,3.0
QuickBooks 2015 Training for Newbies,6.0
Accounting 2 Simplified for You,5.0
Investing: How I Consistently Beat The Stock Market,4.5
Bookkeeping Basics:  Understand the Fundamentals,4.5
Leasing - A Comprehensive Study (Professional Course Level),3.5
Accounting Is Easy (for Beginners),9.0
Learn how to INVEST for huge profits or make it big trading!,5.5
"How to Fund your Million Dollar Idea: Equity, Debt, Unfund",6.0
Stock Technical Analysis with R,7.0
Comprehensive Forex Mastery Program,10.0
CFA Corporate Finance Level 2,17.5
Introduction to Options - Strategies For Consistent Profits,4.5
Introduction to Bookkeeping (Accounting),12.0
Investment Banking: How to Land a Job on Wall Street,3.5
Excel Dashboard - Interactive Excel Dashboard and Charts,3.0
The Securities Trade Lifecycle,4.0
Double your Forex Account using the MAGIC MA trading robot,2.5
Advanced Accounting for Investment Banking,4.0
Venture Capital. What is it and Why it Matters to You!,2.5
Direction-Independ Trading - Elite Forex Traders  Strategy,2.5
How to Become a Financial Analyst from Scratch!,5.0
First Steps to Trading the Forexmarkets : Technical Analysis,3.5
Read financial statements like a pro,4.0
IAS 18 - Revenue,4.5
Forex Trading: The High ROI Forex Trading End of Day Course,2.5
Fundamentals of Accounting for Business Owners,2.5
Practical Financial Statement Analysis,4.5
Forex Management - Detailed Study for CA / CS / CFA Exams,3.0
Professional Risk Manager (PRM) Certification: Level 1,24.0
International Tax  - Tax Beyond boundaries,19.5
The Complete Financial Statement Analysis Course,3.0
Build A Career In Forex Trading- Learn Fundamental Analysis,3.5
Financial Modeling: Build a Complete DCF Valuation Model,2.5
Hands-on Financial Modeling (With 6 Excel Templates),4.0
CAIIB Advanced Bank Management (Part I),20.5
Stock Market investment:Non financial fundamental analysis,3.0
Basics of Business Finance,4.0
Accounting Made Easy 2,3.0
"Bitcoin: el futuro del dinero, hoy",3.0
Trading con retrocesos de Fibonacci,2.5
Mit Finanzwissen zu besserem Unternehmertum,3.0
Curso de Trading práctico basado en casos reales,10.0
Curso Avanzado de Trading,20.5
Análise de Concessão de Crédito,10.5
Crash Course on Cost of Capital and Capital Structuring,3.0
Business Accounting Made Easy,5.5
Mastering Technical Analysis : Maximizing Trading Profits,5.0
The Complete Guide to Professional Trading with Elliott Wave,4.5
Stock Market for Beginners - Complete Starter Toolkit,6.5
Technical Analysis 101: Secrets of Trading Revealed,2.5
Volatility Trading Analysis with R,6.0
BITCOIN VISUALLY. Part I.,4.0
Learn and Master the Basics of Finance,3.0
FOREX : LearnTo Trade the Improved ( Advanced ) Patterns,5.5
Mastering the Market : (Technical Analysis + Candlestick),7.0
* An Integrated Approach to the Fundamentals of Accounting,5.5
Financial Model Fundamentals-Learn the Essential Skills,2.5
Working Capital Management for CA / CFA / CPA Exams,3.5
Risk Analysis - Capital Budgeting for CA / CS / CFA exams,5.5
Corporate Finance 101: Financial Statement Analysis & Ratios,8.0
Mastering Futures Options for Beginners - Your Top 5 Plays!,2.5
Accounting Basics - A Complete Study,29.0
Case Studies in Macro Economics,4.0
Understand Banks & Financial Markets ,3.0
Stock Technical Analysis with Python,8.0
How to Become an Accountant from scratch!,3.0
How to invest in Gold,2.5
MBA Accounting and Finance for Managers(Paper MS04 of IGNOU),26.0
Cost Accounting Marginal Costing Theory and Practice,2.5
Master Finance in Three Hours,3.0
Option selling trading as income source. Beginners friendly,6.0
Become A Forex Trader - Forex trading like a professional,2.5
Financial Accounting: The Complete Introductory Crash Course,10.0
How to Build a Massive Stock Portfolio from Zero!,11.0
Introductory Forex Trading Course,3.5
Accounting and Finance for Bankers - A Comprehensive Study,24.5
Forex Prep Academy for Beginners-Real trades!,3.0
Forex Trading vs Option Trading,2.5
Value Investing For Beginners,2.5
TRADING TACTICS,6.0
Ultimate Retirement: Build Your Own Dynamic Retirement Plan,6.0
Cost Accounting Crash Course,2.5
Option Trading for Rookies: Basic Option Strategies,2.5
Learn to Raise the Funds You Need via Crowdfunding,8.0
The Financial Analyst Skills Training (FAST) course 2017,10.0
Accounting 1 Simplified for You,3.0
[Value Investing] Where White People Keep Their Money,4.0
Basics of Commerce A Complete Study,5.5
The Passive Investing Blueprint - Build Wealth Passively,3.5
7 Steps: Your Introduction to Trading,5.0
QuickBooks Online: Complete Guide & Certification tips,13.0
Chart Patterns Trading Demystified,2.5
Forex Trading: Comprehensive & Concise Forex Trading Course,3.5
Finance - Ratios Analysis & Interpretations,2.5
Quantitative Trading Analysis with R,7.5
Penny Stocks King: How 2 really Trade Penny Stocks (6 Hours),6.0
